instnm,city,stabbr,zip,latitude,longitude,adm_rate,sat_mid_read,sat_mid_math,act_mid_cumulative,act_mid_english,act_mid_math,act_mid_writing,sat_avg,ug_enrol,nprice_pub_cat1,nprice_pub_cat2,nprice_pub_cat3,nprice_pub_cat4,nprice_pub_cat5,nprice_pvt_cat1,nprice_pvt_cat2,nprice_pvt_cat3,nprice_pvt_cat4,nprice_pvt_cat5,avg_cost_attendance,completion_rate,grad_debt_median,grad_debt_med_LY,grad_debt_med_MY,grad_debt_med_HY,female,married,avg_familyincome,median_householdincome,median_earn_aftr6yr,number_gradstudent,zipcode,own_sc_low,parent_sc_low,own_sc_high,parent_sc_high,merge1
Andrew College,Cuthbert,GA,39840-5550,31.772321,-84.795021,0.5864,510,490,18,17,18,NULL,993,288,NULL,NULL,NULL,NULL,NULL,19432,18541,21534,24086,21040,34282,0.2876,12000,9500,9500,7875,0.4902597403,PrivacySuppressed,47054.042208,58509.1,30436,NULL,39840,.90446001,,1.08556,,matched (3)
Andrews University,Berrien Springs,MI,49104,41.963859,-86.355815,0.4878,600,605,25,26,23,7,1205,1381,NULL,NULL,NULL,NULL,NULL,19916,17509,22344,24576,26483,40948,0.607,26076,24992,19849,19500,0.580270793,0.0638297872,69266.021277,63096.48,41315,1583,49104,1.69493,1.39386,1.77048,1.4291199,matched (3)
Angelo State University,San Angelo,TX,76909,31.440914,-100.465051,0.7816,515,505,20,19,20,NULL,1034,5674,9639,10576,14052,18361,19541,NULL,NULL,NULL,NULL,NULL,19810,0.4282,19809,11588,12172,12338,0.5607034156,0.0507270883,55398.26581,49632.36,36686,1668,76909,1.57146,1.19899,1.68033,1.27335,matched (3)
Anna Maria College,Paxton,MA,01612-1198,42.330542,-71.91896,0.8607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1126,NULL,NULL,NULL,NULL,NULL,22232,21627,22780,26486,28960,52919,0.497,25000,13233,18329,15852,0.6302652106,0.0889235569,69493.468019,69542.67,44030,366,1612,1.5909899,1.3660001,1.69592,1.3968101,matched (3)
Antelope Valley Community College District,Lancaster,CA,93536-5426,34.676207,-118.186166,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10716,8649,9465,11202,12571,10919,NULL,NULL,NULL,NULL,NULL,16422,0.2732,11499,8164,6532,4625,0.588590057,0.0878565607,18790.768215,58643.73,27265,NULL,93536,,,,,master only (1)
Antioch College,Yellow Springs,OH,45387,39.799806,-83.888077,0.8457,590,650,23,25,22,NULL,1165,116,NULL,NULL,NULL,NULL,NULL,17737,19633,21065,27489,NULL,50383,0.661,20466,7393,PrivacySuppressed,PrivacySuppressed,0.67,PrivacySuppressed,60149.37,NULL,NULL,NULL,45387,,,,,matched (3)
Antioch University,Yellow Springs,OH,45387,39.80321,-83.908684,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24963,16666,20084,15000,0.7478991597,0.2464985994,31475.859944,65831.57,40748,NULL,45387,,,,,master only (1)
Antioch University Online,Yellow Springs,OH,45387,39.80321,-83.908684,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,45387,,,,,master only (1)
Antioch University-Los Angeles,Culver City,CA,90230-7615,33.988533,-118.384458,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,148,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24963,16666,20084,15000,0.7478991597,0.2464985994,31475.859944,65831.57,40748,755,90230,,,,,master only (1)
Antioch University-New England,Keene,NH,03431,42.932344,-72.293798,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24963,16666,20084,15000,0.7478991597,0.2464985994,31475.859944,65831.57,40748,895,3431,,,,,master only (1)
Antioch University-PhD Program in Leadership and Change,Yellow Springs,OH,45387,39.80321,-83.908684,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24963,16666,20084,15000,0.7478991597,0.2464985994,31475.859944,65831.57,40748,157,45387,,,,,master only (1)
Antioch University-Santa Barbara,Santa Barbara,CA,93101,34.419203,-119.6958,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24963,16666,20084,15000,0.7478991597,0.2464985994,31475.859944,65831.57,40748,210,93101,,,,,master only (1)
Antioch University-Seattle,Seattle,WA,98121-1814,47.615916,-122.346318,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24963,16666,20084,15000,0.7478991597,0.2464985994,31475.859944,65831.57,40748,636,98121,,,,,master only (1)
Appalachian Bible College,Mount Hope,WV,25880-9557,37.853335,-81.198867,0.4874,545,470,20,21,20,NULL,1023,163,NULL,NULL,NULL,NULL,NULL,15398,16047,13468,11346,19910,26291,0.4412,7750,PrivacySuppressed,6750,PrivacySuppressed,0.5697674419,PrivacySuppressed,51092.569767,52011.41,27366,4,25880,,1.04496,,1.04533,matched (3)
Appalachian College of Pharmacy,Oakwood,VA,24631,37.211629,-82.006195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,180,24631,,,,,master only (1)
Appalachian School of Law,Grundy,VA,24614,37.277669,-82.095648,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,170,24614,,,,,master only (1)
Appalachian State University,Boone,NC,28608,36.215536,-81.680583,0.7951,585,570,25,24,23,7,1181,17990,7354,9940,13769,18770,19368,NULL,NULL,NULL,NULL,NULL,19661,0.7269,20271,15236,16545,16000,0.5749588138,0.0400329489,71740.684514,61267.04,38958,1962,28608,1.49406,1.33972,1.63542,1.4392999,matched (3)
Aquinas College,Grand Rapids,MI,49506-1801,42.96019,-85.628785,0.7091,560,555,23,21,22,NULL,1123,1253,NULL,NULL,NULL,NULL,NULL,12825,16735,15306,18691,22510,43921,0.6459,24250,20750,19500,17494,0.6396694215,PrivacySuppressed,72908.761983,64829.33,36917,145,49506,1.67063,1.28645,1.75807,1.31578,matched (3)
Aquinas Institute of Theology,Saint Louis,MO,63108-3323,38.634329,-90.237795,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,124,63108,,,,,master only (1)
Arcadia University,Glenside,PA,19038-3295,40.092606,-75.163876,0.7363,575,555,24,24,23,NULL,1138,1832,NULL,NULL,NULL,NULL,NULL,23979,25459,27003,28974,33396,59684,0.6538,27000,21500,20564,24351,0.6840417001,PrivacySuppressed,80734.621492,72830.78,43174,1286,19038,1.7404799,1.39043,1.8062299,1.4367501,matched (3)
Arizona Christian University,Glendale,AZ,85306-3216,33.622952,-112.181776,0.7147,523,505,20,19,20,NULL,1031,883,NULL,NULL,NULL,NULL,NULL,25114,27225,28131,31703,32189,44585,0.4379,21500,9400,6500,7305,0.2894736842,0.0647773279,53447.115385,65520.64,35500,NULL,85306,,,,,matched (3)
Arizona State University Campus Immersion,Tempe,AZ,85287,33.417721,-111.934383,0.8837,600,610,25,24,24,NULL,1207,62633,8969,10628,15561,19031,20774,NULL,NULL,NULL,NULL,NULL,27056,0.6601,20000,13250,14100,13250,0.5568306611,0.1507797057,56365.776329,69074.33,46621,11671,85287,1.6007299,1.36075,1.79284,1.5273,matched (3)
Arizona State University Digital Immersion,Scottsdale,AZ,85257,33.463786,-111.923861,0.7258,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40275,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.241,20000,13250,14100,13250,0.5568306611,0.1507797057,56365.776329,NULL,46621,13508,85257,,,,,master only (1)
Arkansas Baptist College,Little Rock,AR,72202-6068,34.734751,-92.290555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,468,NULL,NULL,NULL,NULL,NULL,16762,16416,17627,18495,19183,22405,0.1246,26375,11000,7500,5500,0.2502857143,0.016,20377.133714,43283.78,21762,NULL,72202,.58318001,,.60760999,,matched (3)
Arkansas Colleges of Health Education,Fort Smith,AR,72916-0366,35.317421,-94.319084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,678,72916,,,,,master only (1)
Arkansas State University,Jonesboro,AR,72401,35.842388,-90.679988,0.6719,545,565,23,24,22,NULL,1149,7739,12120,12019,14698,16946,17614,NULL,NULL,NULL,NULL,NULL,23009,0.5301,21000,15990,14500,15000,0.6108749161,0.1331394048,46692.785187,42159.88,32687,4620,72401,1.21556,.95050001,1.3645,1.05357,matched (3)
Arkansas Tech University,Russellville,AR,72801-2222,35.293237,-93.13562,0.9766,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7384,10455,10800,12727,14283,14374,NULL,NULL,NULL,NULL,NULL,19361,0.4422,21104,11810,12210,11250,0.5661364132,0.1242100676,43667.734147,43602.11,32177,719,72801,1.17919,.86069,1.32198,.95248997,matched (3)
Arlington Baptist University,Arlington,TX,76012-3425,32.739489,-97.156024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,158,NULL,NULL,NULL,NULL,NULL,22369,23315,23084,23548,23964,25381,0.2059,26000,13500,14500,12000,0.3643410853,0.1240310078,60623.511628,61756.37,34167,2,76012,,,,,matched (3)
Art Academy of Cincinnati,Cincinnati,OH,45202-1706,39.108805,-84.513913,0.3081,NULL,NULL,NULL,NULL,NULL,NULL,NULL,224,NULL,NULL,NULL,NULL,NULL,22465,23281,26023,26164,28020,44864,0.48,27000,9875,15250,15750,0.7446808511,PrivacySuppressed,61940.907801,69050.69,28940,8,45202,,,,,matched (3)
Art Center College of Design,Pasadena,CA,91103,34.169031,-118.185102,0.7609,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1907,NULL,NULL,NULL,NULL,NULL,40209,43406,42992,48702,54154,66046,0.7143,31218,31000,26937,23750,0.5523465704,0.0198555957,51484.238267,74131.88,52191,270,91103,1.81907,,1.8643399,,matched (3)
Asbury Theological Seminary,Wilmore,KY,40390-1199,37.861561,-84.660127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.5135135135,0.4189189189,20415.594595,56966.82,NULL,1755,40390,,,,,master only (1)
Asbury University,Wilmore,KY,40390-1198,37.862029,-84.662606,0.7515,605,595,25,25,23,NULL,1203,1399,NULL,NULL,NULL,NULL,NULL,21453,18887,17959,22711,26216,42462,0.6358,24772,12500,17559,18500,0.6154910097,0.163208852,67719,61842.48,31687,249,40390,1.69505,1.34145,1.7719899,1.3638099,matched (3)
Ascent College,Hampton,VA,23666,37.04127,-76.409526,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6667,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6,0.48,38342.8,NULL,29744,NULL,23666,,,,,master only (1)
Ashland University,Ashland,OH,44805,40.861755,-82.321061,0.7435,555,549,22,21,22,NULL,1105,2462,NULL,NULL,NULL,NULL,NULL,19728,14311,20412,22472,23527,33775,0.6209,25000,18750,19500,20000,0.4403549129,0.1114032205,37594.243181,64491.65,40173,1299,44805,1.6226701,1.24547,1.72823,1.2674,matched (3)
Assumption University,Worcester,MA,01609-1296,42.294226,-71.828991,0.8092,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2006,NULL,NULL,NULL,NULL,NULL,22451,24748,26074,28799,31932,57238,0.732,27000,24158,25857,26669,0.597,0.028,112625.524,80096.93,46259,421,1609,1.75449,1.49641,1.86958,1.55288,matched (3)
Atenas College,Manati,PR,00674-0000,18.429776,-66.488422,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,558,NULL,NULL,NULL,NULL,NULL,6166,6645,10239,NULL,NULL,13321,0.5464,5880,6649,PrivacySuppressed,PrivacySuppressed,0.6946808511,0.0521276596,9099.1234043,17009.97,16853,NULL,674,,,,,master only (1)
Athenaeum of Ohio,Cincinnati,OH,45230-2091,39.082926,-84.371927,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,116,45230,,,,,master only (1)
Athens State University,Athens,AL,35611,34.806793,-86.964698,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2629,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19250,16375,14859,14000,0.705078125,0.361328125,38479.38737,50752.1,38536,179,35611,1.32309,,1.46812,,matched (3)
Atlanta Metropolitan State College,Atlanta,GA,30310-4448,33.70893,-84.404659,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1562,6670,7439,9915,11752,12927,NULL,NULL,NULL,NULL,NULL,12927,0.2377,13220,6000,5500,5500,0.6287037037,0.050462963,21715.586111,53064.92,25275,NULL,30310,.83534998,,.91206002,,matched (3)
Atlantic Institute of Oriental Medicine,Fort Lauderdale,FL,33301-3510,26.121964,-80.142235,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,8374.8461538,PrivacySuppressed,NULL,105,33301,,,,,master only (1)
Atlantic University College,Guaynabo,PR,00970,18.357395,-66.111714,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1489,NULL,NULL,NULL,NULL,NULL,2442,5273,7862,NULL,NULL,9708,0.3708,5500,3500,PrivacySuppressed,PrivacySuppressed,0.2654867257,0.0165929204,18914.098451,26906.77,19010,95,970,,,,,matched (3)
Auburn University,Auburn,AL,36849,32.599378,-85.488258,0.8507,620,620,28,29,26,8,1302,24368,17866,19064,23468,25389,26300,NULL,NULL,NULL,NULL,NULL,32196,0.787,21500,18524,18000,16750,0.531504671,0.0222619758,92148.626516,59005.4,49695,6232,36849,1.5046999,1.47306,1.75911,1.58979,matched (3)
Auburn University at Montgomery,Montgomery,AL,36117-3596,32.36736,-86.177544,0.9555,528,473,21,21,19,NULL,1061,4301,12134,13246,15400,17204,16341,NULL,NULL,NULL,NULL,NULL,20225,0.304,25000,11750,13476,11250,0.6929480901,0.0729676787,41987.986288,50723.81,33326,837,36117,1.11909,1.05334,1.39969,1.2639199,matched (3)
Augsburg University,Minneapolis,MN,55454,44.966307,-93.240436,0.7312,527,530,20,19,20,7,1050,2487,NULL,NULL,NULL,NULL,NULL,20989,20943,23244,25949,30107,54069,0.5928,25000,19500,18781,19333,0.5464480874,0.0546448087,64824.354411,72224.74,44044,834,55454,1.64125,1.21741,1.73909,1.3249201,matched (3)
Augusta University,Augusta,GA,30912,33.47037,-81.989071,0.8288,570,545,23,23,22,NULL,1121,5322,9740,10221,13276,15102,15414,NULL,NULL,NULL,NULL,NULL,20115,0.4676,21385,14360,12803,12500,0.673245614,0.1,52193.71886,NULL,35634,3246,30912,1.23471,1.22475,1.5082999,1.38517,matched (3)
Augustana College,Rock Island,IL,61201-2296,41.502365,-90.55057,0.5735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2374,NULL,NULL,NULL,NULL,NULL,16956,18937,19064,25195,27627,55924,0.7658,27000,26000,24500,26000,0.5883977901,PrivacySuppressed,101517.56354,77348.81,46446,12,61201,1.72979,1.47211,1.85076,1.52247,matched (3)
Augustana University,Sioux Falls,SD,57197-0001,43.525148,-96.736975,0.7138,603,620,25,25,25,NULL,1220,1710,NULL,NULL,NULL,NULL,NULL,19304,17585,22216,25658,26997,47710,0.7222,25000,20450,20500,20750,0.6524590164,0.0180327869,92395.965574,60196.68,44200,284,57197,1.79167,1.3347501,1.8571399,1.36838,matched (3)
Aultman College of Nursing and Health Sciences,Canton,OH,44710-1797,40.796186,-81.404053,0.6198,NULL,NULL,22,20,19,6,1105,346,NULL,NULL,NULL,NULL,NULL,20073,23514,13883,26746,26791,28163,0.25,19000,15250,15250,12000,0.9016393443,0.1885245902,45322.938525,56996.46,46175,NULL,44710,,,,,master only (1)
Aurora University,Aurora,IL,60506-4892,41.753631,-88.349023,0.8395,530,530,21,20,21,NULL,1066,4123,NULL,NULL,NULL,NULL,NULL,13571,13273,15645,19828,21803,35658,0.5797,21250,16500,15750,15739,0.6651312759,0.0925840626,60291.360663,77796.79,44368,2107,60506,1.6462801,1.33553,1.75451,1.44322,matched (3)
Austin College,Sherman,TX,75090-4400,33.646345,-96.596331,0.4928,610,600,26,26,23,NULL,1220,1283,NULL,NULL,NULL,NULL,NULL,17365,15894,18555,23935,28618,56377,0.7087,24170,18125,19500,17270,0.5053304904,PrivacySuppressed,79117.147122,74623.54,43834,17,75090,1.70818,1.49409,1.81273,1.533,matched (3)
Austin Community College District,Austin,TX,78752,30.322744,-97.712505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28882,3264,4907,9178,11553,11782,NULL,NULL,NULL,NULL,NULL,11821,0.1155,10000,7000,5500,5500,0.558947788,0.1207652451,34292.140295,66212.06,32890,NULL,78752,1.16824,.93821001,1.45328,1.14587,matched (3)
Austin Graduate School of Theology,Austin,TX,78752,30.343842,-97.711751,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,43247.9,66069.18,NULL,8,78752,,,,,master only (1)
Austin Peay State University,Clarksville,TN,37044,36.533319,-87.354081,0.9115,541,513,22,21,20,NULL,1104,8195,12265,13774,16859,19290,19300,NULL,NULL,NULL,NULL,NULL,23931,0.4831,21250,12500,12500,12000,0.5990892892,0.207285686,42445.253415,52472.51,34105,1185,37044,1.4090199,1.02096,1.5497299,1.09084,matched (3)
Austin Presbyterian Theological Seminary,Austin,TX,78705-5711,30.29201,-97.736958,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,181,78705,,,,,master only (1)
Ave Maria School of Law,Naples,FL,34119,26.242138,-81.731358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,286,34119,,,,,master only (1)
Ave Maria University,Ave Maria,FL,34142-9505,26.335983,-81.438945,0.9179,574,555,25,25,23,NULL,1164,1048,NULL,NULL,NULL,NULL,NULL,15479,14928,16140,20109,20335,37423,0.5263,21500,11730,12000,14000,0.4839400428,PrivacySuppressed,95147.047109,72612.62,37523,37,34142,1.44341,1.39806,1.57513,1.39862,matched (3)
Averett University,Danville,VA,24541,36.577287,-79.413203,0.6938,500,485,18,NULL,NULL,NULL,984,881,NULL,NULL,NULL,NULL,NULL,21935,21265,44714,26193,29942,47321,0.5023,25000,18500,15700,17690,0.5265760198,0.1508034611,54227.402967,58009.31,39073,NULL,24541,1.49339,1.17328,1.54875,1.18828,matched (3)
Averett University-Non-Traditional Programs,Danville,VA,24541,36.577287,-79.413203,0.0909,NULL,NULL,NULL,NULL,NULL,NULL,NULL,196,NULL,NULL,NULL,NULL,NULL,12165,NULL,NULL,NULL,NULL,19078,NULL,25000,18500,15700,17690,0.5265760198,0.1508034611,54227.402967,NULL,39073,276,24541,,,,,master only (1)
Avila University,Kansas City,MO,64145-1698,38.91339,-94.591758,0.4198,NULL,NULL,21,21,20,NULL,1065,1023,NULL,NULL,NULL,NULL,NULL,15642,17089,18222,21157,22907,30366,0.5147,25000,19000,18750,19953,0.6292749658,0.097127223,53336.967168,67638.05,40645,356,64145,1.66581,1.1929899,1.76651,1.26652,matched (3)
Azusa Pacific University,Azusa,CA,91702-7000,34.130047,-117.888375,0.936,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4498,NULL,NULL,NULL,NULL,NULL,26548,27031,28538,30578,37078,56802,0.6622,23350,20613,20534,18987,0.7258883249,0.1696881798,63280.356055,73950.46,49365,4508,91702,1.82262,1.614,1.87456,1.6504101,matched (3)
Babson College,Wellesley,MA,02457-0310,42.297017,-71.264057,0.2697,660,700,30,31,29,NULL,1361,2435,NULL,NULL,NULL,NULL,NULL,21453,20502,26552,29192,51309,72378,0.9465,22750,19000,19500,21250,0.4822134387,PrivacySuppressed,119186.69565,82978.89,78443,883,2457,1.883,1.5484101,1.91689,1.59418,matched (3)
Bacone College,Muskogee,OK,74403-1597,35.777082,-95.334046,0.4728,468,470,17,17,16,NULL,944,318,NULL,NULL,NULL,NULL,NULL,15975,12995,14403,18095,21175,31050,0.0922,29375,15000,15000,10250,0.334519573,0.0486358244,33762.645314,44521.89,31133,NULL,74403,1.1198,.82683003,1.30861,.87740999,matched (3)
Bais HaMedrash and Mesivta of Baltimore,Baltimore,MD,21209-1613,39.379528,-76.674414,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60,NULL,NULL,NULL,NULL,NULL,8318,8982,8851,12000,NULL,22350,0.5,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,50752.869565,NULL,NULL,NULL,21209,,,,,master only (1)
Bais Medrash Elyon,Monsey,NY,10952,41.114079,-74.069798,0.3636,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8322,NULL,NULL,15400,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,43308.888889,59318.5,NULL,63,10952,,,,,master only (1)
Bais Medrash Mayan Hatorah,Lakewood,NJ,08701,40.107414,-74.204332,0.4688,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,NULL,NULL,9209,10268,9629,11183,NULL,16850,0.7083,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL,8701,,,,,master only (1)
Bais Medrash Toras Chesed,Lakewood,NJ,08701,40.099704,-74.21127,0.7021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,150,NULL,NULL,NULL,NULL,NULL,2152,-2058,NULL,NULL,NULL,12100,0.4615,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,33064.964286,NULL,NULL,NULL,8701,,,,,master only (1)
Bais Medrash of Dexter Park,Chestnut Ridge,NY,10977,41.081404,-74.045927,0.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,NULL,NULL,NULL,NULL,NULL,22448,22728,23078,25412,NULL,28160,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10977,,,,,master only (1)
Baker College,Owosso,MI,48867,42.984804,-84.172404,0.5376,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5009,NULL,NULL,NULL,NULL,NULL,11253,11075,12281,15759,16503,19593,0.1943,26219,19629,19541,14782,0.6670299728,0.1633969119,33870.42198,59405.88,28841,348,48867,.92400002,.74118,1.25582,.82494998,matched (3)
Baker University,Baldwin City,KS,66006-0065,38.778712,-95.187346,0.9341,520,520,22,22,22,NULL,1102,1331,NULL,NULL,NULL,NULL,NULL,18010,18141,19972,25509,25117,44473,0.6205,26000,19045,20972,19322,0.5992462312,0.1733668342,69310.934673,67758.92,48706,944,66006,1.74642,1.32848,1.8105,1.3645101,matched (3)
Bakersfield College,Bakersfield,CA,93305-1299,35.40911,-118.973753,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18571,5084,4886,7744,10574,NULL,NULL,NULL,NULL,NULL,NULL,13774,0.2127,12500,9500,5750,5500,0.5835383858,0.0878444882,21233.834154,46274.57,27051,NULL,93305,.94253999,.89344001,1.2568001,1.18617,matched (3)
Bakke Graduate University,Dallas,TX,75243-7039,32.894605,-96.753976,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,159,75243,,,,,master only (1)
Baldwin Wallace University,Berea,OH,44017-2088,41.373017,-81.851145,0.6982,580,570,24,23,23,NULL,1176,2843,NULL,NULL,NULL,NULL,NULL,18190,19525,22997,25022,29643,48655,0.7011,27000,25000,25000,23250,0.5390070922,0.0303030303,72659.48098,66257.54,40626,539,44017,1.55064,1.35235,1.71192,1.38653,matched (3)
Ball State University,Muncie,IN,47306,40.203431,-85.409043,0.8705,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15171,8273,10786,15158,19563,21875,NULL,NULL,NULL,NULL,NULL,24439,0.6679,23250,14616,16320,18298,0.5982266556,0.0271543364,73629.964949,62817.43,40356,5817,47306,1.58119,1.26258,1.7241499,1.34639,matched (3)
Bank Street College of Education,New York,NY,10025,40.805604,-73.966643,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,NULL,NULL,63961.81,NULL,599,10025,,,,,master only (1)
Baptist Bible College,Springfield,MO,65803-3498,37.239696,-93.284286,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,202,NULL,NULL,NULL,NULL,NULL,14653,13691,18129,19243,20157,24641,0.3684,25068,16731,10375,19050,0.5645933014,0.0574162679,59847.076555,54103.44,29269,20,65803,1.70407,,1.75457,,matched (3)
Baptist Health Sciences University,Memphis,TN,38104,35.138415,-90.027501,0.693,500,540,21,22,18,NULL,1082,870,NULL,NULL,NULL,NULL,NULL,4323,5893,12105,12284,14617,20485,0.4384,31193,18712,20000,17750,0.9200680272,0.1411564626,39672.602041,61604.19,56049,19,38104,1.5144,,1.7126499,,matched (3)
