School,Zip Code,City,State,Admissions Rate,Median ACT,Average SAT,# of Undergrads,Graduation Rate, Median Debt After Graduation , Median Salary (2-years post-graduation) ,Economic Connectedness
Arkansas Baptist College,72202-6068,Little Rock,AR,Data Not Available,Data Not Available,Data Not Available,468,12.46%," $26,375.00 "," $21,762.00 ",29.16%
Arkansas Colleges of Health Education,72916-0366,Fort Smith,AR,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Arkansas State University,72401,Jonesboro,AR,67.19%,23,1149,7739,53.01%," $21,000.00 "," $32,687.00 ",60.78%
Arkansas Tech University,72801-2222,Russellville,AR,97.66%,Data Not Available,Data Not Available,7384,44.22%," $21,104.00 "," $32,177.00 ",58.96%
Arlington Baptist University,76012-3425,Arlington,TX,Data Not Available,Data Not Available,Data Not Available,158,20.59%," $26,000.00 "," $34,167.00 ",Data Not Available
Art Academy of Cincinnati,45202-1706,Cincinnati,OH,30.81%,Data Not Available,Data Not Available,224,48.00%," $27,000.00 "," $28,940.00 ",Data Not Available
Art Center College of Design,91103,Pasadena,CA,76.09%,Data Not Available,Data Not Available,1907,71.43%," $31,218.00 "," $52,191.00 ",90.95%
Asbury Theological Seminary,40390-1199,Wilmore,KY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Asbury University,40390-1198,Wilmore,KY,75.15%,25,1203,1399,63.58%," $24,772.00 "," $31,687.00 ",84.75%
Ascent College,23666,Hampton,VA,Data Not Available,Data Not Available,Data Not Available,35,66.67%, Data Not Available ," $29,744.00 ",Data Not Available
Ashland University,44805,Ashland,OH,74.35%,22,1105,2462,62.09%," $25,000.00 "," $40,173.00 ",81.13%
Assumption University,01609-1296,Worcester,MA,80.92%,Data Not Available,Data Not Available,2006,73.20%," $27,000.00 "," $46,259.00 ",87.72%
Atenas College,00674-0000,Manati,PR,Data Not Available,Data Not Available,Data Not Available,558,54.64%," $5,880.00 "," $16,853.00 ",Data Not Available
Athenaeum of Ohio,45230-2091,Cincinnati,OH,Data Not Available,Data Not Available,Data Not Available,43,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Athens State University,35611,Athens,AL,Data Not Available,Data Not Available,Data Not Available,2629,Data Not Available," $19,250.00 "," $38,536.00 ",66.15%
Atlanta Metropolitan State College,30310-4448,Atlanta,GA,Data Not Available,Data Not Available,Data Not Available,1562,23.77%," $13,220.00 "," $25,275.00 ",41.77%
Atlantic Institute of Oriental Medicine,33301-3510,Fort Lauderdale,FL,Data Not Available,Data Not Available,Data Not Available,69,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Atlantic University College,970,Guaynabo,PR,Data Not Available,Data Not Available,Data Not Available,1489,37.08%," $5,500.00 "," $19,010.00 ",Data Not Available
Auburn University,36849,Auburn,AL,85.07%,28,1302,24368,78.70%," $21,500.00 "," $49,695.00 ",75.23%
Auburn University at Montgomery,36117-3596,Montgomery,AL,95.55%,21,1061,4301,30.40%," $25,000.00 "," $33,326.00 ",55.95%
Augsburg University,55454,Minneapolis,MN,73.12%,20,1050,2487,59.28%," $25,000.00 "," $44,044.00 ",82.06%
Augusta University,30912,Augusta,GA,82.88%,23,1121,5322,46.76%," $21,385.00 "," $35,634.00 ",61.74%
Augustana College,61201-2296,Rock Island,IL,57.35%,Data Not Available,Data Not Available,2374,76.58%," $27,000.00 "," $46,446.00 ",86.49%
Augustana University,57197-0001,Sioux Falls,SD,71.38%,25,1220,1710,72.22%," $25,000.00 "," $44,200.00 ",89.58%
Aultman College of Nursing and Health Sciences,44710-1797,Canton,OH,61.98%,22,1105,346,25.00%," $19,000.00 "," $46,175.00 ",Data Not Available
Aurora University,60506-4892,Aurora,IL,83.95%,21,1066,4123,57.97%," $21,250.00 "," $44,368.00 ",82.31%
Austin College,75090-4400,Sherman,TX,49.28%,26,1220,1283,70.87%," $24,170.00 "," $43,834.00 ",85.41%
Austin Community College District,78752,Austin,TX,Data Not Available,Data Not Available,Data Not Available,28882,11.55%," $10,000.00 "," $32,890.00 ",58.41%
Austin Graduate School of Theology,78752,Austin,TX,Data Not Available,Data Not Available,Data Not Available,13,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Austin Peay State University,37044,Clarksville,TN,91.15%,22,1104,8195,48.31%," $21,250.00 "," $34,105.00 ",70.45%
Austin Presbyterian Theological Seminary,78705-5711,Austin,TX,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Ave Maria School of Law,34119,Naples,FL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Ave Maria University,34142-9505,Ave Maria,FL,91.79%,25,1164,1048,52.63%," $21,500.00 "," $37,523.00 ",72.17%
Averett University,24541,Danville,VA,69.38%,18,984,881,50.23%," $25,000.00 "," $39,073.00 ",74.67%
Averett University-Non-Traditional Programs,24541,Danville,VA,9.09%,Data Not Available,Data Not Available,196,Data Not Available," $25,000.00 "," $39,073.00 ",Data Not Available
Avila University,64145-1698,Kansas City,MO,41.98%,21,1065,1023,51.47%," $25,000.00 "," $40,645.00 ",83.29%
Azusa Pacific University,91702-7000,Azusa,CA,93.60%,Data Not Available,Data Not Available,4498,66.22%," $23,350.00 "," $49,365.00 ",91.13%
Babson College,02457-0310,Wellesley,MA,26.97%,30,1361,2435,94.65%," $22,750.00 "," $78,443.00 ",94.15%
Bacone College,74403-1597,Muskogee,OK,47.28%,17,944,318,9.22%," $29,375.00 "," $31,133.00 ",55.99%
Bais HaMedrash and Mesivta of Baltimore,21209-1613,Baltimore,MD,100.00%,Data Not Available,Data Not Available,60,50.00%, Data Not Available , Data Not Available ,Data Not Available
Bais Medrash Elyon,10952,Monsey,NY,36.36%,Data Not Available,Data Not Available,25,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Bais Medrash Mayan Hatorah,8701,Lakewood,NJ,46.88%,Data Not Available,Data Not Available,37,70.83%, Data Not Available , Data Not Available ,Data Not Available
Bais Medrash Toras Chesed,8701,Lakewood,NJ,70.21%,Data Not Available,Data Not Available,150,46.15%, Data Not Available , Data Not Available ,Data Not Available
Bais Medrash of Dexter Park,10977,Chestnut Ridge,NY,50.00%,Data Not Available,Data Not Available,68,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Baker College,48867,Owosso,MI,53.76%,Data Not Available,Data Not Available,5009,19.43%," $26,219.00 "," $28,841.00 ",46.20%
Baker University,66006-0065,Baldwin City,KS,93.41%,22,1102,1331,62.05%," $26,000.00 "," $48,706.00 ",87.32%
Bakersfield College,93305-1299,Bakersfield,CA,Data Not Available,Data Not Available,Data Not Available,18571,21.27%," $12,500.00 "," $27,051.00 ",47.13%
Bakke Graduate University,75243-7039,Dallas,TX,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Baldwin Wallace University,44017-2088,Berea,OH,69.82%,24,1176,2843,70.11%," $27,000.00 "," $40,626.00 ",77.53%
Ball State University,47306,Muncie,IN,87.05%,Data Not Available,Data Not Available,15171,66.79%," $23,250.00 "," $40,356.00 ",79.06%
Bank Street College of Education,10025,New York,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Baptist Bible College,65803-3498,Springfield,MO,Data Not Available,Data Not Available,Data Not Available,202,36.84%," $25,068.00 "," $29,269.00 ",85.20%
Baptist Health Sciences University,38104,Memphis,TN,69.30%,21,1082,870,43.84%," $31,193.00 "," $56,049.00 ",75.72%
Baptist Missionary Association Theological Seminary,75766-5407,Jacksonville,TX,44.44%,Data Not Available,Data Not Available,47,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Baptist University of the Americas,78224-1364,San Antonio,TX,Data Not Available,Data Not Available,Data Not Available,116,26.32%, Data Not Available ," $30,554.00 ",Data Not Available
Barclay College,67059-0288,Haviland,KS,47.98%,Data Not Available,Data Not Available,166,41.46%," $27,000.00 "," $33,128.00 ",Data Not Available
Bard College,12504-5000,Annandale-On-Hudson,NY,56.95%,Data Not Available,Data Not Available,1932,73.57%," $25,910.00 "," $32,377.00 ",89.46%
Bard College at Simon's Rock,01230-9702,Great Barrington,MA,93.95%,Data Not Available,Data Not Available,330,61.74%," $19,500.00 "," $36,520.00 ",Data Not Available
Barnard College,10027-6598,New York,NY,13.60%,33,1447,2744,90.00%," $18,500.00 "," $58,581.00 ",Data Not Available
Barnes-Jewish College Goldfarb School of Nursing,63110,Saint Louis,MO,Data Not Available,Data Not Available,Data Not Available,529,Data Not Available," $16,443.00 "," $61,741.00 ",Data Not Available
Barry University,33161-6695,Miami,FL,65.30%,Data Not Available,Data Not Available,3249,36.17%," $28,235.00 "," $43,282.00 ",75.69%
Barton College,27893-7000,Wilson,NC,42.44%,20,1030,1041,51.89%," $26,000.00 "," $37,283.00 ",69.07%
Bastyr University,98028-4966,Kenmore,WA,Data Not Available,Data Not Available,Data Not Available,94,Data Not Available," $15,000.00 "," $44,399.00 ",Data Not Available
Bates College,4240,Lewiston,ME,14.10%,Data Not Available,Data Not Available,1876,92.46%," $13,978.00 "," $44,663.00 ",91.04%
Bay Mills Community College,49715,Brimley,MI,Data Not Available,Data Not Available,Data Not Available,398,14.29%, Data Not Available ," $23,670.00 ",Data Not Available
Bay Path University,1106,Longmeadow,MA,78.31%,27,1074,1689,59.69%," $24,420.00 "," $43,261.00 ",Data Not Available
Baylor College of Medicine,77030-3498,Houston,TX,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Baylor University,76798,Waco,TX,68.47%,Data Not Available,Data Not Available,14329,79.34%," $23,550.00 "," $50,196.00 ",83.43%
Be'er Yaakov Talmudic Seminary,10977,Spring Valley,NY,Data Not Available,Data Not Available,Data Not Available,565,45.45%, Data Not Available ," $17,592.00 ",Data Not Available
Beacon College,34748,Leesburg,FL,44.61%,Data Not Available,Data Not Available,426,61.54%," $25,718.00 "," $19,906.00 ",62.52%
Becker College,01609-2165,Worcester,MA,82.96%,26,1086,1547,50.12%," $26,500.00 "," $35,972.00 ",82.41%
Beis Medrash Heichal Dovid,11691-4433,Far Rockaway,NY,66.67%,Data Not Available,Data Not Available,166,75.00%, Data Not Available , Data Not Available ,Data Not Available
Belhaven University,39202,Jackson,MS,49.54%,21,1083,2003,46.67%," $27,000.00 "," $37,094.00 ",69.81%
Bellarmine University,40205-0671,Louisville,KY,82.37%,25,1196,2431,64.31%," $25,000.00 "," $44,265.00 ",82.86%
Bellevue College,98007-6484,Bellevue,WA,Data Not Available,Data Not Available,Data Not Available,5775,34.26%," $12,500.00 "," $43,534.00 ",86.49%
Bellevue University,68005-3098,Bellevue,NE,Data Not Available,Data Not Available,Data Not Available,9665,22.73%," $20,865.00 "," $47,484.00 ",Data Not Available
Bellin College,54311,Green Bay,WI,95.71%,23,1140,383,65.22%," $17,792.00 "," $58,827.00 ",Data Not Available
Bellingham Technical College,98225-1599,Bellingham,WA,Data Not Available,Data Not Available,Data Not Available,211,52.38%," $18,732.00 "," $39,545.00 ",47.27%
Belmont Abbey College,28012-1802,Belmont,NC,80.10%,22,1085,1429,46.05%," $26,000.00 "," $36,881.00 ",74.92%
Belmont University,37212-3757,Nashville,TN,83.23%,27,1244,6618,71.01%," $20,709.00 "," $42,954.00 ",90.08%
Beloit College,53511-5595,Beloit,WI,58.34%,Data Not Available,Data Not Available,924,77.59%," $26,000.00 "," $36,139.00 ",84.16%
Bemidji State University,56601,Bemidji,MN,69.44%,22,1105,3698,45.99%," $19,500.00 "," $43,299.00 ",78.19%
Benedict College,29204-1086,Columbia,SC,72.59%,Data Not Available,Data Not Available,1724,28.21%," $34,500.00 "," $23,174.00 ",38.90%
Benedictine College,66002-1499,Atchison,KS,96.78%,25,1213,1980,65.02%," $25,000.00 "," $39,168.00 ",81.18%
Benedictine University,60532-0900,Lisle,IL,60.99%,23,1097,2285,46.03%," $22,500.00 "," $44,569.00 ",85.24%
Benjamin Franklin Institute of Technology,2116,Boston,MA,Data Not Available,Data Not Available,Data Not Available,399,51.43%," $12,000.00 "," $42,258.00 ",Data Not Available
Bennett College,27401-3239,Greensboro,NC,72.88%,Data Not Available,Data Not Available,232,29.09%," $31,000.00 "," $27,538.00 ",61.30%
Bennington College,05201-6003,Bennington,VT,59.99%,Data Not Available,Data Not Available,632,71.20%," $26,000.00 "," $29,730.00 ",Data Not Available
Bentley University,02452-4705,Waltham,MA,57.82%,29,1281,4059,89.57%," $25,000.00 "," $78,514.00 ",94.43%
Berea College,40404-2182,Berea,KY,32.96%,24,1189,1432,67.31%," $3,700.00 "," $30,747.00 ",73.05%
Bergin University of Canine Studies,94951,Penngrove,CA,Data Not Available,Data Not Available,Data Not Available,26,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Berkeley School of Theology,94704-3029,Berkeley,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Berklee College of Music,2215,Boston,MA,51.60%,Data Not Available,Data Not Available,5951,65.13%," $25,000.00 "," $27,330.00 ",90.39%
Berry College,30149,Mount Berry,GA,77.22%,Data Not Available,Data Not Available,1992,70.37%," $23,987.00 "," $38,255.00 ",80.18%
Bet Medrash Gadol Ateret Torah,11223-1933,Brooklyn,NY,69.23%,Data Not Available,Data Not Available,142,0.00%, Data Not Available , Data Not Available ,Data Not Available
Beth Medrash Govoha,08701-2754,Lakewood,NJ,Data Not Available,Data Not Available,Data Not Available,3004,Data Not Available, Data Not Available ," $38,874.00 ",Data Not Available
Beth Medrash Meor Yitzchok,10952-4023,Monsey,NY,73.75%,Data Not Available,Data Not Available,187,1.67%, Data Not Available , Data Not Available ,Data Not Available
Beth Medrash of Asbury Park,08701-5842,Lakewood,NJ,42.86%,Data Not Available,Data Not Available,50,25.00%, Data Not Available , Data Not Available ,Data Not Available
Bethany College,26032,Bethany,WV,91.84%,19,989,564,43.50%," $27,000.00 "," $35,085.00 ",76.18%
Bethany College,67456-1897,Lindsborg,KS,68.32%,20,1035,742,34.04%," $24,698.00 "," $38,134.00 ",81.37%
Bethany Global University,55438-2849,Bloomington,MN,86.59%,Data Not Available,Data Not Available,313,55.56%," $12,000.00 ", Data Not Available ,Data Not Available
Bethany Lutheran College,56001,Mankato,MN,64.51%,Data Not Available,Data Not Available,632,61.70%," $24,250.00 "," $37,943.00 ",81.37%
Bethany Theological Seminary,47374-4019,Richmond,IN,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Bethel College-North Newton,67117-1716,North Newton,KS,61.32%,20,1031,482,43.64%," $24,353.00 "," $39,732.00 ",81.20%
Bethel Seminary-San Diego,92115,San Diego,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available," $22,500.00 "," $49,758.00 ",Data Not Available
Bethel University,38201,McKenzie,TN,76.12%,19,998,2461,34.91%," $28,125.00 "," $36,794.00 ",Data Not Available
Bethel University,46545-5591,Mishawaka,IN,92.79%,Data Not Available,Data Not Available,1126,62.27%," $24,656.00 "," $39,705.00 ",86.94%
Bethel University,55112,Saint Paul,MN,86.63%,25,1203,2491,74.09%," $22,500.00 "," $49,758.00 ",91.13%
Bethesda University,92801,Anaheim,CA,Data Not Available,Data Not Available,Data Not Available,285,24.00%," $20,500.00 "," $37,107.00 ",Data Not Available
Bethlehem College & Seminary,55415-1793,Minneapolis,MN,Data Not Available,Data Not Available,Data Not Available,119,83.33%, Data Not Available , Data Not Available ,Data Not Available
Bethune-Cookman University,32114-3099,Daytona Beach,FL,97.73%,17,919,2746,33.06%," $31,000.00 "," $27,184.00 ",47.65%
Beulah Heights University,30316,Atlanta,GA,Data Not Available,Data Not Available,Data Not Available,344,7.41%, Data Not Available ," $23,933.00 ",Data Not Available
Bexley Hall Seabury Western Theological Seminary Federation Inc.,60637,Chicago,IL,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Binghamton University,13850-6000,Vestal,NY,43.03%,31,1376,14300,81.72%," $18,750.00 "," $56,213.00 ",88.93%
Biola University,90639-0001,La Mirada,CA,64.38%,26,1196,3683,71.40%," $24,273.00 "," $42,464.00 ",91.82%
Birmingham-Southern College,35254,Birmingham,AL,60.45%,25,1202,1129,70.94%," $25,800.00 "," $42,523.00 ",82.77%
Birthingway College of Midwifery,97005,Beaverton,OR,Data Not Available,Data Not Available,Data Not Available,2,Data Not Available, Data Not Available ," $28,798.00 ",Data Not Available
Bismarck State College,58506-5587,Bismarck,ND,Data Not Available,Data Not Available,Data Not Available,2783,47.69%," $11,141.00 "," $42,162.00 ",81.44%
Black Hills State University,57799-9500,Spearfish,SD,97.14%,21,1089,2243,39.26%," $25,000.00 "," $35,477.00 ",74.94%
Blackburn College,62626,Carlinville,IL,55.18%,20,1006,484,45.18%," $24,001.00 "," $32,366.00 ",76.25%
Blessing Rieman College of Nursing and Health Sciences,62305-7005,Quincy,IL,Data Not Available,Data Not Available,Data Not Available,158,Data Not Available," $14,000.00 "," $52,555.00 ",Data Not Available
Bloomfield College,7003,Bloomfield,NJ,84.65%,17,889,1530,33.33%," $27,000.00 "," $35,203.00 ",63.66%
Bloomsburg University of Pennsylvania,17815,Bloomsburg,PA,89.03%,Data Not Available,Data Not Available,7346,57.54%," $26,000.00 "," $41,478.00 ",82.45%
Blue Mountain College,38610,Blue Mountain,MS,99.12%,21,1065,631,51.35%," $17,400.00 "," $32,534.00 ",75.33%
Bluefield State College,24701-2198,Bluefield,WV,90.03%,20,992,1231,31.78%," $19,000.00 "," $31,543.00 ",61.79%
Bluefield University,24605,Bluefield,VA,76.02%,Data Not Available,Data Not Available,666,35.95%," $21,500.00 "," $36,293.00 ",Data Not Available
Bluffton University,45817-2104,Bluffton,OH,60.51%,Data Not Available,Data Not Available,675,55.05%," $27,000.00 "," $37,308.00 ",81.63%
Bob Jones University,29614-0001,Greenville,SC,Data Not Available,Data Not Available,Data Not Available,2406,64.94%," $18,500.00 "," $33,798.00 ",75.91%
Boise Bible College,83714-1220,Boise,ID,90.38%,21,988,94,38.64%," $23,000.00 "," $28,855.00 ",Data Not Available
Boise State University,83725,Boise,ID,77.49%,24,1135,16973,54.52%," $21,475.00 "," $38,776.00 ",69.27%
Bon Secours Memorial College of Nursing,23227-1149,Richmond,VA,Data Not Available,Data Not Available,Data Not Available,456,Data Not Available," $26,246.00 "," $60,405.00 ",Data Not Available
Boricua College,10032-1560,New York,NY,Data Not Available,Data Not Available,Data Not Available,510,87.38%," $6,706.00 "," $28,959.00 ",Data Not Available
Boston Architectural College,02115-2703,Boston,MA,Data Not Available,Data Not Available,Data Not Available,293,33.33%," $38,739.00 "," $57,839.00 ",Data Not Available
Boston Baptist College,02136-4030,Boston,MA,77.78%,18,1050,47,50.00%," $21,074.00 "," $32,365.00 ",Data Not Available
Boston College,2467,Chestnut Hill,MA,26.38%,33,1433,9681,91.69%," $18,000.00 "," $70,858.00 ",94.56%
Boston Graduate School of Psychoanalysis Inc,2446,Brookline,MA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Boston University,2215,Boston,MA,20.09%,32,1419,16359,89.03%," $24,848.00 "," $58,876.00 ",94.27%
Bowdoin College,4011,Brunswick,ME,9.16%,Data Not Available,Data Not Available,1776,94.99%," $18,675.00 "," $51,153.00 ",90.59%
Bowie State University,20715-9465,Bowie,MD,81.21%,18,936,5286,43.10%," $23,000.00 "," $40,562.00 ",82.84%
Bowling Green State University-Main Campus,43403,Bowling Green,OH,75.30%,23,1142,13342,62.13%," $25,000.00 "," $37,312.00 ",79.92%
Bradley University,61625-0001,Peoria,IL,73.28%,25,1196,4570,75.50%," $27,000.00 "," $49,859.00 ",84.81%
Brandeis University,02454-9110,Waltham,MA,33.40%,32,1424,3481,89.23%," $25,797.00 "," $52,141.00 ",91.53%
Brazosport College,77566,Lake Jackson,TX,Data Not Available,Data Not Available,Data Not Available,2699,27.50%," $5,470.00 "," $35,613.00 ",72.79%
Brenau University,30501-3668,Gainesville,GA,92.19%,20,1047,1590,40.71%," $28,063.00 "," $39,398.00 ",75.49%
Brescia University,42301-3023,Owensboro,KY,47.83%,22,1112,803,35.98%," $27,500.00 "," $32,661.00 ",69.39%
Brevard College,28712,Brevard,NC,45.24%,Data Not Available,Data Not Available,815,38.99%," $25,000.00 "," $33,712.00 ",61.22%
Brewton-Parker College,30445,Mount Vernon,GA,98.14%,Data Not Available,Data Not Available,556,15.45%," $25,500.00 "," $31,229.00 ",62.14%
Briar Cliff University,51104,Sioux City,IA,Data Not Available,Data Not Available,Data Not Available,686,50.00%," $23,703.00 "," $39,506.00 ",82.81%
Bridgewater College,22812-1599,Bridgewater,VA,76.14%,22,1082,1552,63.04%," $26,469.00 "," $41,948.00 ",83.34%
Bridgewater State University,2325,Bridgewater,MA,82.31%,23,1049,8760,59.03%," $24,505.00 "," $40,839.00 ",88.52%
Brigham Young University,84602,Provo,UT,69.25%,29,1335,33376,75.45%," $11,500.00 "," $49,424.00 ",89.30%
Brigham Young University-Hawaii,96762-1294,Laie,HI,75.02%,24,1166,3107,66.83%," $9,839.00 "," $38,880.00 ",79.63%
Brigham Young University-Idaho,83460-1690,Rexburg,ID,97.01%,23,1132,43660,55.93%," $13,243.00 "," $35,805.00 ",77.89%
Brite Divinity School,76129,Fort Worth,TX,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available," $21,500.00 "," $54,181.00 ",Data Not Available
Brooklyn Law School,11201,Brooklyn,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
Broward College,33301,Fort Lauderdale,FL,Data Not Available,Data Not Available,Data Not Available,27128,34.62%," $7,250.00 "," $31,177.00 ",45.92%
Brown University,2912,Providence,RI,7.67%,34,1508,6632,95.25%," $13,000.00 "," $60,341.00 ",92.08%
Bryan College of Health Sciences,68506,Lincoln,NE,57.77%,Data Not Available,Data Not Available,602,75.56%," $26,060.00 "," $58,880.00 ",Data Not Available
Bryan College-Dayton,37321,Dayton,TN,Data Not Available,Data Not Available,Data Not Available,787,47.34%," $22,695.00 "," $40,819.00 ",79.48%
Bryant University,02917-1291,Smithfield,RI,75.79%,28,1211,3275,82.40%," $26,727.00 "," $70,109.00 ",92.34%
Bryn Athyn College of the New Church,19009-0717,Bryn Athyn,PA,77.71%,22,1070,268,34.12%," $21,500.00 "," $37,124.00 ",Data Not Available
Bryn Mawr College,19010,Bryn Mawr,PA,38.36%,Data Not Available,Data Not Available,1298,84.90%," $25,000.00 "," $49,745.00 ",90.41%
Bucknell University,17837,Lewisburg,PA,37.53%,30,1353,3684,87.85%," $26,191.00 "," $70,178.00 ",92.06%
Buena Vista University,50588,Storm Lake,IA,55.68%,Data Not Available,Data Not Available,1408,62.19%," $25,000.00 "," $38,666.00 ",86.00%
Bushnell University,97401-3745,Eugene,OR,68.19%,21,1089,514,51.28%," $22,414.00 "," $38,019.00 ",Data Not Available
Butler University,46208,Indianapolis,IN,75.69%,28,1265,4404,82.35%," $26,176.00 "," $57,454.00 ",88.01%
Byzantine Catholic Seminary of Saints Cyril and Methodius,15214-2229,Pittsburgh,PA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
CUNY Bernard M Baruch College,10010,New York,NY,40.71%,28,1268,15456,72.53%," $11,130.00 "," $55,554.00 ",89.43%
CUNY Brooklyn College,11210,Brooklyn,NY,49.74%,26,1105,14054,54.49%," $11,000.00 "," $43,178.00 ",83.87%
CUNY City College,10031,New York,NY,50.54%,27,1164,11967,59.72%," $12,348.00 "," $45,588.00 ",81.73%
CUNY Graduate School and University Center,10016,New York,NY,Data Not Available,Data Not Available,Data Not Available,2658,Data Not Available," $12,460.00 "," $51,575.00 ",Data Not Available
CUNY Hunter College,10065,New York,NY,40.48%,28,1259,16921,55.89%," $12,000.00 "," $45,287.00 ",89.87%
CUNY John Jay College of Criminal Justice,10019,New York,NY,37.43%,23,1093,13324,50.63%," $11,000.00 "," $44,607.00 ",77.29%
CUNY Lehman College,10468,Bronx,NY,47.01%,Data Not Available,1020,12087,53.18%," $10,812.00 "," $44,658.00 ",66.84%
CUNY Medgar Evers College,11225,Brooklyn,NY,78.48%,Data Not Available,Data Not Available,4793,21.10%," $10,500.00 "," $34,242.00 ",55.09%
CUNY New York City College of Technology,11201,Brooklyn,NY,79.07%,Data Not Available,Data Not Available,14615,18.49%," $10,226.00 "," $39,174.00 ",73.98%
CUNY Queens College,11367,Queens,NY,53.49%,25,1122,15735,53.37%," $11,000.00 "," $45,538.00 ",90.76%
CUNY School of Law,11101,Long Island City,NY,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
CUNY York College,11451,Jamaica,NY,52.76%,Data Not Available,960,6283,31.56%," $10,500.00 "," $42,661.00 ",79.99%
Cabarrus College of Health Sciences,28025-3959,Concord,NC,35.38%,20,1036,451,65.22%," $18,500.00 "," $50,015.00 ",Data Not Available
Cabrini University,19087-3698,Radnor,PA,61.67%,21,1036,1463,54.85%," $27,000.00 "," $44,068.00 ",86.36%
Cairn University-Langhorne,19047-2990,Langhorne,PA,81.45%,Data Not Available,Data Not Available,885,54.72%," $27,000.00 "," $33,276.00 ",83.13%
Caldwell University,07006-6195,Caldwell,NJ,91.52%,20,1017,1730,64.42%," $25,000.00 "," $42,646.00 ",84.06%
California Arts University,92833,Fullerton,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
California Baptist University,92504-3297,Riverside,CA,80.18%,22,1064,8093,61.95%," $27,000.00 "," $46,036.00 ",86.84%
California Christian College,93727,Fresno,CA,100.00%,Data Not Available,Data Not Available,13,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
California College San Diego,92069-2971,San Marcos,CA,Data Not Available,Data Not Available,Data Not Available,135,54.34%," $25,726.00 "," $31,580.00 ",Data Not Available
California College San Diego,92111,San Diego,CA,Data Not Available,Data Not Available,Data Not Available,235,38.37%," $25,726.00 "," $31,580.00 ",Data Not Available
California College San Diego-CollegeAmerica-Phoenix,85051,Phoenix,AZ,Data Not Available,Data Not Available,Data Not Available,129,36.34%," $26,143.00 "," $24,378.00 ",Data Not Available
California College of the Arts,94107-2247,San Francisco,CA,85.45%,Data Not Available,Data Not Available,1225,67.03%," $27,000.00 "," $38,110.00 ",88.09%
California Institute of Advanced Management,91803,Alhambra,CA,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available, Data Not Available , Data Not Available ,Data Not Available
California Institute of Integral Studies,94103,San Francisco,CA,Data Not Available,Data Not Available,Data Not Available,98,Data Not Available," $18,750.00 "," $33,918.00 ",Data Not Available
California Institute of Technology,91125,Pasadena,CA,6.69%,36,1566,901,91.56%," $17,747.00 "," $129,420.00 ",92.04%
California Institute of the Arts,91355-2397,Valencia,CA,27.42%,Data Not Available,Data Not Available,762,66.49%," $26,000.00 "," $32,758.00 ",91.17%
California Jazz Conservatory,94704-1268,Berkeley,CA,100.00%,Data Not Available,Data Not Available,35,0.00%, Data Not Available , Data Not Available ,Data Not Available
California Lutheran University,91360-2787,Thousand Oaks,CA,74.39%,24,1159,2800,70.86%," $21,750.00 "," $49,746.00 ",92.30%
California Polytechnic State University-San Luis Obispo,93407,San Luis Obispo,CA,38.43%,29,1325,21451,83.09%," $19,500.00 "," $66,662.00 ",92.36%
